Geo Point;Geo Shape;SECTOR;SUBSECTOR;PRIMARY_TY;SEC_CLASS;DATE_CREAT;DATE_MODIF;COMP_AFFIL;NAME;NAME2;NAME3;ADDRESS1;ADDRESS2;PO_BOX;PO_ZIP;CITY;STATE;ZIP;ZIP_4;COUNTY;HSIP_AOI;FEMA_REGIO;LATITUDE;LONGITUDE;RELIABILIT;COORSOURCE;COMMENTS_1;CONFERENCE;DIVISION;CAPACITY;ROOF_TYPE;TEAM
44.5011699465,-88.0622299348;"{""type"": ""Point"", ""coordinates"": [-88.06222993480286, 44.50116994645191]}";High Value/Symboli;Sports Arena;NFL;UNCLASSIFIED;2004-02-11;2010-02-11;;Lambeau Field;;;1265 Lombardi Avenue;;;;Green Bay;WI;54307;;Brown;None;5.0;44.50117000000;-88.06223000000;High;NGA;;National;North;72928.0;Open;Green Bay Packers
29.6849299406,-95.410919978;"{""type"": ""Point"", ""coordinates"": [-95.41091997803119, 29.684929940564473]}";High Value/Symboli;Sports Arena;NFL;UNCLASSIFIED;2004-02-23;2010-02-11;;Reliant Stadium;;;8299 Kirby Drive;;;;Houston;TX;77054;;Harris;Houston;6.0;29.68493000000;-95.41092000000;High;NGA;;American;South;71500.0;Retractable;Houston Texans
38.6327799156,-90.1885400268;"{""type"": ""Point"", ""coordinates"": [-90.18854002684685, 38.63277991562563]}";High Value/Symboli;Sports Arena;NFL;UNCLASSIFIED;2004-02-11;2010-02-11;;Edward Jones Dome;;;701 Convention Plaza;;;;Saint Louis;MO;63101;;Saint Louis City;Saint Louis;7.0;38.63278000000;-90.18854000000;High;NGA;;National;West;66965.0;Dome;St. Louis Rams
39.2779000046,-76.6227000055;"{""type"": ""Point"", ""coordinates"": [-76.62270000548904, 39.27790000460368]}";High Value/Symboli;Sports Arena;NFL;UNCLASSIFIED;2004-02-11;2010-02-11;;M&T Bank Stadium;;;1101 Russell Street;;;;Baltimore;MD;21230;;Baltimore City;Baltimore;3.0;39.27790000000;-76.62270000000;High;NGA;;American;North;71008.0;Open;Baltimore Ravens
42.3400499765,-83.0456399685;"{""type"": ""Point"", ""coordinates"": [-83.04563996849686, 42.340049976484295]}";High Value/Symboli;Sports Arena;NFL;UNCLASSIFIED;2004-02-23;2010-02-11;;Ford Field;;;2000 Brush Street;;;;Detroit;MI;48226;48226-2229;Wayne;Detroit;5.0;42.34005000000;-83.04564000000;High;NGA;;National;North;64111.0;Dome;Detroit Lions
25.9580100153,-80.2388899544;"{""type"": ""Point"", ""coordinates"": [-80.23888995439034, 25.958010015322884]}";High Value/Symboli;Sports Arena;NFL;UNCLASSIFIED;2004-02-11;2010-02-11;;Sun Life Stadium;;;2267 North West 199th Street;;;;Miami;FL;33056;;Dade;Miami-Fort Lauderdale;4.0;25.95801000000;-80.23889000000;High;NGA;Shares stadium with Marlins(MLB), Miami FL(NCAA);American;East;76500.0;Open;Miami Dolphins
39.7600000001,-86.1631100002;"{""type"": ""Point"", ""coordinates"": [-86.16311000021767, 39.760000000122375]}";High Value/Symboli;Sports Arena;NFL;UNCLASSIFIED;2010-02-11;;;Lucas Oil Stadium;;;500 South Capitol Avenue;;;;Indianapolis;IN;46225;;Marion;Indianapolis;5.0;39.76000000000;-86.16361000000;High;NGA;;American;South;63000.0;Retractable;Indianapolis Colts
33.5271572087,-112.262291479;"{""type"": ""Point"", ""coordinates"": [-112.26229147924977, 33.527157208713106]}";High Value/Symboli;Sports Arena;NFL;UNCLASSIFIED;2006-07-18;2010-02-11;;University of Phoenix Stadium;;;1 Cardinals Drive;;;;Glendale;AZ;85305;;Maricopa;Phoenix;9.0;33.52713000000;-112.25876000000;High;NGA;;National;West;63400.0;Retractable;Arizona Cardinals
41.5061799776,-81.6996200647;"{""type"": ""Point"", ""coordinates"": [-81.69962006472832, 41.50617997764925]}";High Value/Symboli;Sports Arena;NFL;UNCLASSIFIED;2004-02-11;2010-02-11;;Cleveland Browns Stadium;;;100 Alfred Lerner Way;;;;Cleveland;OH;44114;;Cuyahoga;Cleveland-Akron;5.0;41.50618000000;-81.69962000000;High;NGA;;American;North;65790.0;Open;Cleveland Browns
37.7523300017,-122.199900021;"{""type"": ""Point"", ""coordinates"": [-122.19990002093903, 37.75233000172909]}";High Value/Symboli;Sports Arena;NFL;UNCLASSIFIED;2004-02-11;2010-02-11;;Oakland-Alameda County Coliseum;;;7000 Coliseum Way;;;;Oakland;CA;94621;;Alameda;San Francisco-Oakland;9.0;37.75233000000;-122.19990000000;High;NGA;Shares stadium with Athletics(MLB).;American;West;63026.0;Open;Oakland Raiders
37.7139900007,-122.386729971;"{""type"": ""Point"", ""coordinates"": [-122.38672997089355, 37.71399000065463]}";High Value/Symboli;Sports Arena;NFL;UNCLASSIFIED;2004-02-11;2010-02-11;;Candlestick Park;;;602 Jamestown Avenue;;;;San Francisco;CA;94124;;San Francisco;San Francisco-Oakland;9.0;37.71399000000;-122.38673000000;High;NGA;;National;West;70207.0;Open;San Francisco 49ers
36.1665400441,-86.7725199962;"{""type"": ""Point"", ""coordinates"": [-86.77251999621592, 36.16654004409162]}";High Value/Symboli;Sports Arena;NFL;UNCLASSIFIED;2004-02-11;2010-02-11;;LP Field;;;1 Titan Way;;;;Nashville;TN;37213;;Davidson;Nashville;4.0;36.16654000000;-86.77252000000;High;NGA;Shares stadium with Tenn St. Tigers (NCAA).;American;South;68798.0;Open;Tennessee Titans
38.9076800366,-76.8642599314;"{""type"": ""Point"", ""coordinates"": [-76.8642599314295, 38.90768003663766]}";High Value/Symboli;Sports Arena;NFL;UNCLASSIFIED;2004-02-11;2010-02-11;;FedEx Field;;;1600 FedEx Way;;;;Landover;MD;20785;;Prince George's;Washington;3.0;38.90778000000;-76.86444000000;High;NGA;;National;East;91704.0;Open;Washington Redskins
39.74396,-105.020280016;"{""type"": ""Point"", ""coordinates"": [-105.0202800160825, 39.743959999975914]}";High Value/Symboli;Sports Arena;NFL;UNCLASSIFIED;2004-02-11;2010-02-11;;Invesco Field at Mile High;;;1701 Bryant Street;;;;Denver;CO;80204;;Denver;Denver;8.0;39.74396000000;-105.02028000000;High;NGA;Shares stadium with Outlaws(MLL).;American;West;76125.0;Open;Denver Broncos
29.9511599884,-90.0812799901;"{""type"": ""Point"", ""coordinates"": [-90.08127999012783, 29.951159988373036]}";High Value/Symboli;Sports Arena;NFL;UNCLASSIFIED;2004-02-11;2010-02-11;;Louisiana Superdome;;;1550 Sugar Bowl Drive;;;;New Orleans;LA;70112;70112-1255;Orleans;New Orleans;6.0;29.95116000000;-90.08128000000;High;NGA;Shares stadium with Tulane Green Wave(NCAA).;National;South;72968.0;Dome;New Orleans Saints
39.0489499819,-94.4838800902;"{""type"": ""Point"", ""coordinates"": [-94.48388009015628, 39.048949981852275]}";High Value/Symboli;Sports Arena;NFL;UNCLASSIFIED;2004-02-11;2010-02-11;;Arrowhead Stadium;;;1 Arrowhead Drive;;;;Kansas City;MO;64129;;Jackson;Kansas City;7.0;39.04895000000;-94.48388000000;High;NGA;;American;West;77000.0;Open;Kansas City Chiefs
40.4467299846,-80.0157400416;"{""type"": ""Point"", ""coordinates"": [-80.01574004161779, 40.44672998460396]}";High Value/Symboli;Sports Arena;NFL;UNCLASSIFIED;2004-02-11;2010-02-11;;Heinz Field;;;100 Art Rooney Avenue;;;;Pittsburgh;PA;15212;;Allegheny;Pittsburgh;3.0;40.44673000000;-80.01574000000;High;NGA;Shares stadium with Pittsburgh Pathers(NCAA).;American;North;65050.0;Open;Pittsburgh Steelers
32.746930527,-97.0923739136;"{""type"": ""Point"", ""coordinates"": [-97.09237391359306, 32.746930526962096]}";High Value/Symboli;Sports Arena;NFL;UNCLASSIFIED;2010-02-11;;;Cowboys Stadium;;;900 East Randol Mill Road;;;;Arlington;TX;76011;;Tarrant;Dallas-Fort Worth;6.0;32.74778000000;-97.09277000000;High;NGA;;National;East;80000.0;Retractable;Dallas Cowboys
